,artist,title,albumart,time,channel
139,Slushii\\Marshmello,Twinbow,http://www.siriusxm.com/albumart/Live/1200/slushiimarsh_58CC093B_m.jpg,1493381668.2720053,
140,DJ Snake/Mr. Hudson,Here Comes The Night (NGHTMRE Remix,http://www.siriusxm.com/albumart/Live/1200/djsnakemrhud_58E44EC6_m.jpg,1493381848.29745,
141,Calvin Harris/Rihanna,This Is What U Came For,http://www.siriusxm.com/albumart/Live/1200/calvinharris_58224470_m.jpg,1493382088.2700932,
142,Cedric Gervais,Touch the Sky,http://www.siriusxm.com/albumart/Live/1200/cedricgervai_58E6C077_m.jpg,1493382328.3035464,
143,Grandtheft/Delaney Jane,Easy Go,http://www.siriusxm.com/albumart/Live/1200/grandtheftde_59022052_m.jpg,1493382508.2716687,
144,Hardwell/Dyro/Bright Lights,Never Say Goodbye,http://www.siriusxm.com/albumart/Live/1230/hardwelldyro_551D50FB_m.jpg,1493382688.2639074,
145,Lucas & Steve/Jake Reese,Calling On You,http://www.siriusxm.com/albumart/Live/1230/lucassteveja_588A424B_m.jpg,1493382868.2557502,
146,Phantoms/Verite,Just A Feeling,http://www.siriusxm.com/albumart/Live/1230/phantomsveri_58EF16DB_m.jpg,1493382928.3180568,
147,Clément Leroux & Harold van Lennep,Secrets f. Axel Ehnström,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493383228.313816,
148,@DonDiablo @sxmElectro,#HexagonRadio,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493442306.8384266,
149,Illenium/Kerli,Sound Of Walking Away,http://www.siriusxm.com/albumart/Live/1630/illeniumkerl_5903DCA7_m.jpg,1493483440.8362298,BPM
150,Curbi/Mesto,BRUH,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493483561.2206273,BPM
151,R.I.O.,Headlong,http://www.siriusxm.com/albumart/Live/1630/rio_5903DEC8_m.jpg,1493483741.2858565,BPM
152,Grandtheft/Delaney Jane,Easy Go-Pham Remix,http://www.siriusxm.com/albumart/Live/1630/grandtheftde_5903DF81_m.jpg,1493484041.1108365,BPM
153,Yellow Claw/Otis Parker,Friends In The Dark,http://www.siriusxm.com/albumart/Live/1630/yellowclawot_58FE079D_m.jpg,1493484281.1191385,BPM
154,Lastlings,You,http://www.siriusxm.com/albumart/Live/1630/lastlings_5903E1A9_m.jpg,1493484521.1646807,BPM
155,@TheChainsmokers,#YouTubeEDM15,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493484701.1355948,BPM
156,The Knocks/Absofacto,Trouble-LIONE Remix,http://www.siriusxm.com/albumart/Live/1630/theknocksabs_5903E262_m.jpg,1493484821.118027,BPM
157,MaxRiven,Rhythm Is A Dancer,http://www.siriusxm.com/albumart/Live/1630/maxriven_5903E3C5_m.jpg,1493485061.1105144,BPM
158,Hayden James,Just A Lover-PETIT BISCUIT Remix,http://www.siriusxm.com/albumart/Live/1700/haydenjames_581C4D45_m.jpg,1493485361.614356,BPM
